count	q1	q2	q3	qd1	qd2	qd3	x	y	theta	qdd1	qdd2	qdd3	trq2	trq3	trq2_act	trq3_act	
112	-0.339779	1.41202	-1.79951	1.92401	-8.39586	0.0330851	0.0656288	0.551449	0.843519	42.7442	-115.479	1.52062	-9.57969	0.759251	-8.68903	0.642233	
113	-0.342409	1.4034	-1.79948	1.93673	-8.51793	0.0354404	0.0691883	0.551632	0.832303	40.6019	-115.692	1.50086	-9.71811	0.761974	-8.61348	0.642233	
114	-0.339779	1.39465	-1.79945	1.97708	-8.64255	0.0388504	0.0698795	0.552162	0.826224	38.9789	-116.28	1.69942	-9.62457	0.787607	-8.84015	0.661122	
115	-0.337149	1.38578	-1.79941	2.01742	-8.77013	0.0416978	0.0706031	0.552687	0.820018	40.2281	-117.618	1.8011	-9.53231	0.813242	-9.10459	0.774457	
116	-0.332614	1.37678	-1.79936	2.03227	-8.89227	0.04818	0.0703032	0.55334	0.815599	37.0708	-118.437	2.25129	-9.38014	0.850971	-8.65125	0.6989	
117	-0.332614	1.36766	-1.79931	2.07454	-9.00954	0.0557157	0.0725416	0.553664	0.806533	38.8858	-118.764	3.00156	-9.38765	0.862988	-8.7457	0.642233	
118	-0.328576	1.35841	-1.79924	2.10366	-9.13733	0.0644078	0.0725759	0.55427	0.801385	39.1724	-120.101	3.80232	-9.24796	0.895859	-8.85903	0.736679	
119	-0.325947	1.34903	-1.79917	2.13321	-9.26802	0.0765263	0.0734217	0.554767	0.794709	36.2135	-122.887	4.90935	-9.16246	0.922501	-8.70792	0.736679	
120	-0.317095	1.33951	-1.79909	2.16447	-9.40449	0.089913	0.0708447	0.555709	0.794128	36.9259	-125.671	6.10863	-8.84934	0.971469	-9.33126	0.812236	
121	-0.31256	1.32985	-1.79898	2.19629	-9.54338	0.106826	0.0706941	0.556333	0.789108	34.7833	-127.124	7.64107	-8.69903	1.00301	-8.70792	0.680011	
122	-0.308025	1.32005	-1.79886	2.22812	-9.68589	0.126126	0.0705751	0.556951	0.783963	30.4105	-129.003	9.30411	-8.55152	1.03389	-8.87792	0.755568	
123	-0.299173	1.31011	-1.79872	2.29043	-9.82653	0.147621	0.0680797	0.557861	0.783015	35.3694	-130.86	11.2181	-8.24802	1.06874	-8.99126	0.736679	
124	-0.299173	1.30002	-1.79855	2.32843	-9.96853	0.171513	0.0705531	0.558152	0.773091	35.135	-132.597	13.2662	-8.25108	1.08552	-8.59459	0.812236	
125	-0.292951	1.28979	-1.79836	2.36118	-10.1061	0.19673	0.0695846	0.558869	0.769274	34.3765	-133.598	15.5032	-8.05739	1.11653	-9.04793	0.868903	
126	-0.297486	1.27942	-1.79815	2.44186	-10.2475	0.219284	0.0746606	0.558805	0.75458	40.9597	-135.52	17.1104	-8.17828	1.11634	-8.55681	0.831125	
127	-0.297486	1.26889	-1.79791	2.49512	-10.405	0.241464	0.0772419	0.559042	0.744285	42.0587	-139.549	18.5748	-8.17038	1.1325	-8.3868	0.887792	
128	-0.297486	1.25819	-1.79766	2.52618	-10.5772	0.261972	0.0798664	0.559259	0.733837	42.2514	-143.984	19.7564	-8.17434	1.15427	-8.46236	0.812236	
129	-0.297486	1.2473	-1.79739	2.57944	-10.7583	0.282103	0.0825362	0.559452	0.723226	44.6223	-149.025	20.5577	-8.16473	1.17331	-8.5757	0.906682	
130	-0.294098	1.23624	-1.79709	2.65255	-10.9305	0.305749	0.0833527	0.559908	0.71585	48.8084	-152.598	21.5836	-8.03652	1.19525	-7.99013	0.812236	
131	-0.292411	1.22503	-1.79677	2.66662	-11.0869	0.332053	0.0851587	0.560208	0.70664	47.0327	-154.349	22.5227	-7.99037	1.22245	-7.89569	0.982238	
132	-0.287336	1.21366	-1.79642	2.72275	-11.228	0.36245	0.0850995	0.560782	0.7007	49.4633	-154.212	23.6324	-7.81995	1.24655	-8.02791	0.868903	
133	-0.283949	1.20216	-1.79603	2.76482	-11.3582	0.39837	0.0860146	0.5612	0.692975	47.4389	-153.168	25.0748	-7.70648	1.26844	-7.38568	1.0578	
134	-0.274339	1.19054	-1.79561	2.82372	-11.4787	0.434988	0.0834599	0.562135	0.691384	49.5294	-151.017	26.3476	-7.41877	1.29375	-7.38568	1.02002	
135	-0.274339	1.17877	-1.79515	2.82372	-11.6281	0.475177	0.0863362	0.562243	0.680075	46.2537	-152.2	27.8446	-7.42065	1.31966	-7.48012	0.982238	
136	-0.274339	1.16682	-1.79465	2.86932	-11.8075	0.522736	0.0892532	0.562325	0.668634	42.7457	-155.998	30.3453	-7.39694	1.34027	-7.31012	1.0578	
137	-0.268117	1.15469	-1.79409	2.84882	-11.9954	0.578835	0.0887119	0.562944	0.663278	35.3696	-159.036	33.7371	-7.24284	1.37972	-6.95123	1.09557	
138	-0.268117	1.14237	-1.79346	2.93783	-12.1704	0.642878	0.0917096	0.562992	0.651585	41.1649	-159.328	38.0906	-7.19114	1.39197	-7.25345	1.09557	
139	-0.268117	1.12989	-1.79278	3.00004	-12.3267	0.7074	0.0947417	0.563012	0.639793	42.0607	-156.847	42.5297	-7.14814	1.40731	-6.38455	1.11446	
140	-0.265684	1.11728	-1.79203	3.02213	-12.4629	0.773007	0.0964325	0.56324	0.630356	36.9574	-153.242	46.7258	-7.06394	1.42976	-6.63011	1.17113	
141	-0.271906	1.10453	-1.79122	3.12758	-12.5886	0.838997	0.103021	0.562581	0.612203	46.0959	-150.172	50.6944	-7.13882	1.4293	-7.00789	1.13335	
142	-0.269474	1.09163	-1.79035	3.14966	-12.7476	0.904766	0.104771	0.562758	0.602608	42.691	-151.957	54.2316	-7.0487	1.4541	-6.55455	1.24669	
143	-0.272861	1.07854	-1.78941	3.21949	-12.9356	0.96887	0.109837	0.562284	0.587066	45.4675	-157.736	57.0501	-7.0632	1.46836	-5.96899	1.17113	
144	-0.276249	1.06525	-1.78841	3.26724	-13.1441	1.04065	0.114944	0.561749	0.571386	44.3514	-166.538	60.566	-7.07844	1.48814	-5.34564	1.32224	
145	-0.276249	1.05175	-1.78733	3.37913	-13.3368	1.1131	0.118189	0.561553	0.558964	55.5405	-170.871	63.7923	-6.97949	1.49932	-5.57231	1.19002	
146	-0.276249	1.03809	-1.78619	3.4439	-13.4927	1.18057	0.121467	0.561321	0.546446	57.4576	-168.526	65.7836	-6.9041	1.51481	-5.49676	1.34113	
147	-0.267672	1.02428	-1.78499	3.55579	-13.6383	1.24507	0.119959	0.562101	0.542415	70.6968	-164.295	66.6239	-5.50067	1.5638	-5.70454	1.36002	
148	-0.261851	1.01032	-1.78373	3.53093	-13.7947	1.30818	0.120029	0.562528	0.535533	59.3105	-162.423	66.5307	-6.49803	1.56131	-5.57231	1.30335	
149	-0.261851	0.996155	-1.7824	3.60329	-13.9913	1.37583	0.123413	0.562225	0.5227	60.3251	-166.457	66.8427	-6.41333	1.57893	-4.93008	1.30335	
150	-0.259095	0.981775	-1.78101	3.69817	-14.2073	1.44114	0.125295	0.562226	0.512469	67.6046	-174.441	66.8137	-6.26654	1.59584	-4.23118	1.37891	
